name,layers,coeff,lambda_attractor,sigma,attractor_scale,lambda_flow,lambda_retain,num_epochs,forget_rouge1,retain_rouge1,factual_rouge1,forget_rougeL,retain_rougeL,factual_rougeL,forget_ppl,retain_ppl,factual_ppl
P1_c3_L15,[15],3.0,1.0,1.0,1.0,0.1,1.0,20,0.2552,0.8062,0.9183,0.2057,0.788,0.9114,14433.2,6307.6,3478.7
P1_c3_L16,[16],3.0,1.0,1.0,1.0,0.1,1.0,20,0.331,0.8917,0.9134,0.2672,0.8807,0.9045,11570.5,6689.9,3686.3
P1_c3_L17,[17],3.0,1.0,1.0,1.0,0.1,1.0,20,0.3014,0.9008,0.8685,0.2497,0.8919,0.8616,9241.2,5822.0,3256.7
P1_c3_L18,[18],3.0,1.0,1.0,1.0,0.1,1.0,20,0.3166,0.8844,0.8972,0.2548,0.8717,0.8913,13356.2,8809.8,4617.0
P1_c3_L19,[19],3.0,1.0,1.0,1.0,0.1,1.0,20,0.2914,0.9164,0.8621,0.2424,0.9064,0.8582,13711.5,8914.4,4611.1
P1_c3_L20,[20],3.0,1.0,1.0,1.0,0.1,1.0,20,0.2932,0.9287,0.9085,0.2472,0.9171,0.9045,13956.7,8870.4,4735.3
P1_c3_L21,[21],3.0,1.0,1.0,1.0,0.1,1.0,20,0.3235,0.9283,0.9331,0.2724,0.9199,0.9262,11720.2,8043.3,4322.2
P1_c3_L22,[22],3.0,1.0,1.0,1.0,0.1,1.0,20,0.3459,0.9452,0.943,0.2945,0.9406,0.9391,13278.9,9337.8,4969.4
A_c2_L15,[15],2.0,1.0,1.0,1.0,0.1,1.0,20,0.2645,0.834,0.9095,0.2128,0.8174,0.9055,14015.7,6335.8,3537.8
A_c3_L15,[15],3.0,1.0,1.0,1.0,0.1,1.0,20,0.2848,0.8377,0.9243,0.2322,0.8212,0.9243,15842.8,7063.5,3781.0
A_c4_L15,[15],4.0,1.0,1.0,1.0,0.1,1.0,20,0.27,0.8058,0.8897,0.2236,0.7879,0.8848,15462.7,6938.6,3824.2
A_c5_L15,[15],5.0,1.0,1.0,1.0,0.1,1.0,20,0.2832,0.8087,0.9243,0.2262,0.7898,0.9203,16339.5,7228.8,4000.1
A_c6_L15,[15],6.0,1.0,1.0,1.0,0.1,1.0,20,0.2866,0.8214,0.9144,0.2339,0.8039,0.9105,14689.6,6485.7,3543.9
B1_c3_L15_19,"[15, 19]",3.0,1.0,1.0,1.0,0.1,1.0,20,0.1797,0.711,0.8404,0.1477,0.6848,0.8355,18216.7,6745.0,3765.7
B2_c4_L15_19,"[15, 19]",4.0,1.0,1.0,1.0,0.1,1.0,20,0.1727,0.7084,0.8611,0.14,0.677,0.8611,17084.9,6615.5,3750.1
B3_c3_L15_19_s0.7,"[15, 19]",3.0,1.0,0.7,1.0,0.1,1.0,20,0.1413,0.7532,0.873,0.1117,0.7284,0.868,11654.3,3582.8,2239.6
B4_c3_L15_17_19,"[15, 17, 19]",3.0,1.0,1.0,1.0,0.1,1.0,20,0.1544,0.5509,0.6649,0.1317,0.506,0.6649,10774.0,4383.2,2802.2
B5_c4_L15_17_19,"[15, 17, 19]",4.0,1.0,1.0,1.0,0.1,1.0,20,0.1603,0.555,0.655,0.1305,0.5106,0.655,9146.9,3691.4,2448.4
C_c3_L15_s0.5,[15],3.0,1.0,0.5,1.0,0.1,1.0,20,0.201,0.888,0.9371,0.1677,0.8756,0.9351,23112.5,8012.3,4002.2
C_c3_L15_s0.7,[15],3.0,1.0,0.7,1.0,0.1,1.0,20,0.184,0.792,0.9036,0.1448,0.7722,0.9036,23501.6,7218.3,3872.9
C_c3_L15_s1.5,[15],3.0,1.0,1.5,1.0,0.1,1.0,20,0.306,0.7057,0.8947,0.2518,0.6759,0.8897,9482.1,5435.7,3157.5
C_c4_L15_s0.7,[15],4.0,1.0,0.7,1.0,0.1,1.0,20,0.2056,0.7966,0.9036,0.1618,0.775,0.8996,25712.3,7598.3,4067.7
D_c3_L15_a2,[15],3.0,2.0,1.0,1.0,0.1,1.0,20,0.2412,0.7898,0.9312,0.1962,0.7665,0.9292,17681.3,7129.9,3883.2
D_c3_L15_a3,[15],3.0,3.0,1.0,1.0,0.1,1.0,20,0.2231,0.8101,0.9134,0.1791,0.7925,0.9114,16901.3,6274.3,3513.5
D_c3_L15_as1.5,[15],3.0,1.0,1.0,1.5,0.1,1.0,20,0.2664,0.8128,0.9183,0.2127,0.7952,0.9144,13990.4,6582.5,3625.8
D_c3_L15_as2.0,[15],3.0,1.0,1.0,2.0,0.1,1.0,20,0.2626,0.821,0.9164,0.2179,0.803,0.9144,16543.0,7069.3,3889.9
D_c4_L15_a2_as1.5,[15],4.0,2.0,1.0,1.5,0.1,1.0,20,0.2525,0.8206,0.9036,0.2037,0.8018,0.8986,15851.2,6479.8,3541.4
E_c3_L15_lr0.5,[15],3.0,1.0,1.0,1.0,0.1,0.5,20,0.2832,0.616,0.8838,0.2276,0.5702,0.8838,8483.3,3924.2,2561.2
E_c3_L15_lr2.0,[15],3.0,1.0,1.0,1.0,0.1,2.0,20,0.2556,0.902,0.9391,0.2061,0.8917,0.9351,19621.8,8226.4,4384.4
E_c3_L15_lr3.0,[15],3.0,1.0,1.0,1.0,0.1,3.0,20,0.2241,0.8879,0.9193,0.1832,0.8768,0.9154,21035.3,8470.3,4406.7
E_c4_L15_lr2,[15],4.0,1.0,1.0,1.0,0.1,2.0,20,0.2507,0.8741,0.8917,0.2023,0.8629,0.8897,19859.9,8154.2,4278.2
F_c3_L15_e30,[15],3.0,1.0,1.0,1.0,0.1,1.0,30,0.3105,0.8321,0.945,0.2565,0.8191,0.943,13530.6,7050.8,3869.2
F_c4_L15_e30,[15],4.0,1.0,1.0,1.0,0.1,1.0,30,0.3085,0.828,0.9154,0.2595,0.8128,0.9134,12947.0,6742.6,3719.4
F_c3_L15_19_e30,"[15, 19]",3.0,1.0,1.0,1.0,0.1,1.0,30,0.224,0.7086,0.8572,0.1844,0.6778,0.8523,15160.8,6809.5,3905.3
G1_c4_L15_s0.7_a2,[15],4.0,2.0,0.7,1.0,0.1,1.0,20,0.1706,0.7719,0.87,0.1366,0.7497,0.8661,28408.9,7820.0,4225.4
G2_c3_L15_s0.7_lr2,[15],3.0,1.0,0.7,1.0,0.1,2.0,20,0.1953,0.8379,0.9065,0.1574,0.8215,0.9026,28443.8,8548.8,4520.3
G3_c4_L15_s0.7_a2_lr2,[15],4.0,2.0,0.7,1.0,0.1,2.0,20,0.1808,0.84,0.9213,0.1446,0.8236,0.9213,32716.9,8853.0,4491.8
G4_c3_L15_19_s0.7_a2,"[15, 19]",3.0,2.0,0.7,1.0,0.1,1.0,20,0.0981,0.6926,0.8286,0.0834,0.6603,0.8256,24795.2,6409.5,3612.1
G5_c4_L15_19_s0.7_lr2,"[15, 19]",4.0,1.0,0.7,1.0,0.1,2.0,20,0.1367,0.796,0.8799,0.1102,0.7753,0.8769,30355.4,8559.3,4459.4
H1_c5_L15_s0.7_a2,[15],5.0,2.0,0.7,1.0,0.1,1.0,20,0.1983,0.7738,0.8848,0.1589,0.7526,0.8848,23280.9,6574.9,3570.3
H2_c4_L15_s0.7_a2_lr2,[15],4.0,2.0,0.7,1.0,0.1,2.0,20,0.1734,0.8288,0.9065,0.1408,0.8122,0.9026,32163.5,8729.4,4524.2
H3_c4_L15_s0.7_a2_lf0.05,[15],4.0,2.0,0.7,1.0,0.05,1.0,20,0.1305,0.7364,0.8394,0.1017,0.7083,0.8355,81191.7,7416.3,4119.4
H4_c5_L15_s0.7_a2_lr2,[15],5.0,2.0,0.7,1.0,0.1,2.0,20,0.187,0.8272,0.8819,0.1497,0.8096,0.8779,31892.8,8789.2,4535.9
H5_c4_L15_19_s0.7_a2_lr2,"[15, 19]",4.0,2.0,0.7,1.0,0.1,2.0,20,0.126,0.7857,0.8552,0.1041,0.7656,0.8523,30988.3,8014.9,4257.8
